GAME DESIGN DOCUMENT - DOTSLINK
Game Element Details (Chi tiết Yếu tố Trò Chơi)
================================================================================

Tên,Mô Tả,Chức Năng Chính,Note,IMG
================================================================================

GAME BOARD (BẢN TRẢI TRÒ CHƠI)
Bảng Trò Chơi (Game Board),Lưới ô vuông NxN (4x4 đến 10x10) dùng để đặt các nút và đường kết nối,"Chứa tất cả các nodes, tính toán kích thước camera, quản lý layout","Kích thước tăng dần theo stage (CurrentStage + 3). Mỗi ô có kích thước 1 unit × 1 unit",board.png
Ô Nền (Background Cell),Những ô vuông nhỏ tạo nên lưới trực quan,"Tạo grid visual, giúp người chơi thấy rõ layout","Rendered với SpriteRenderer màu xám nhạt, không tương tác",cell.png
Camera,Hệ thống nhìn game từ góc nhìn 2D,"Tự động zoom phù hợp với kích thước bảng, căn chỉnh vị trí chính xác","Orthographic projection, size = gridSize + 2, position = (gridSize/2, gridSize/2, -10)",camera.png

================================================================================

NODES (CÁC NÚT/ĐIỂM)

End Node (Nút Đầu Cuối),Điểm khởi động/kết thúc cho mỗi đường màu,"Là start/end point của mỗi cặp điểm cùng màu, luôn có thể nhấn được","- IsEndNode = true
- IsClickable = true
- Rendered với Point GameObject
- Mỗi End Node phải có ĐÚNG 1 kết nối để thắng",endpoint.png

Intermediate Node (Nút Trung Gian),Những điểm giữa các End Node dùng để tạo đường dẫn,"Kết nối End Node với nhau, tạo thành đường màu liên tục","- IsClickable = depends (chỉ clickable nếu đã kết nối)
- Mỗi Intermediate Node phải có ĐÚNG 2 kết nối
- Rendered với 4 Edge GameObjects (Up/Down/Left/Right)",intermediate.png

Empty Node (Nút Trống),Những ô trống không có điểm,"Chỉ dùng để tạo layout bảng, không tương tác","- IsClickable = false
- Không render gì
- Có thể được sử dụng khi vẽ đường",empty.png

Node Grid Dictionary,Bộ sưu tập tất cả Node theo tọa độ,"Tìm Node nhanh chóng theo vị trí (Vector2Int)","- Loại: Dictionary<Vector2Int, Node>
- Dùng trong UpdateInput để kiểm tra neighbor",node_grid.png

================================================================================

EDGES (ĐƯỜNG KẾT NỐI)

Edge (Đường Kết Nối),Đường liên tục nối 2 End Node cùng màu,"Lưu trữ tất cả ô mà đường đi qua, xác định Start/End point","- Edge struct gồm:
  - Points: List<Vector2Int> (tất cả ô trong đường)
  - StartPoint: Vector2Int (ô đầu tiên)
  - EndPoint: Vector2Int (ô cuối cùng)
- 1 Edge = 1 màu
- Không được giao nhau",edge.png

Connection Edges (Đường Kết Nối Từng Node),Dictionary lưu các đường nối giữa 2 Node liền kề,"Quản lý kết nối trực tiếp (hàng xóm) giữa các nodes","- Dictionary<Node, GameObject>
- Ghi lại 4 hướng: Up/Down/Left/Right
- Dùng để kiểm tra có thể kết nối hay không",connection.png

Edge Visualization (Hiển Thị Đường),Các GameObject biểu diễn đường theo 4 hướng,"Render visual của đường trên bảng","- _topEdge: kết nối lên
- _bottomEdge: kết nối xuống
- _leftEdge: kết nối trái
- _rightEdge: kết nối phải
- Color = NodeColors[colorId]",edge_viz.png

